dm_cd_code;dm_cm_code;dm_creadat;dm_majdate;dm_majsrc;dm_abddate;dm_abdsrc
426238;558939;;;;;
426239;558939;;;;;
426240;558939;;;;;
426241;558940;;;;;
426242;558940;;;;;
426243;558942;;;;;
426244;558944;;;;;
426245;558944;;;;;
426246;558944;;;;;
426247;558946;;;;;
426248;558946;;;;;
426249;558947;;;;;
426250;562452;;;;;
426251;562452;;;;;
426252;562453;;;;;
426253;562454;;;;;
426254;562454;;;;;
426255;562454;;;;;
426256;562454;;;;;
426257;562455;;;;;
426258;562455;;;;;
426259;562455;;;;;
426898;566385;;;;;
425648;558835;;;;;
425649;558997;;;;;
425650;558998;;;;;
425651;558999;;;;;
425652;558999;;;;;
425653;559000;;;;;
425654;559001;;;;;
425655;559001;;;;;
425656;559001;;;;;
426260;562455;;;;;
426261;562456;;;;;
426262;562457;;;;;
426263;562457;;;;;
426264;562457;;;;;
426265;562457;;;;;
426266;562457;;;;;
426267;562457;;;;;
426268;564041;;;;;
426269;564041;;;;;
426270;564041;;;;;
426271;564042;;;;;
426274;564045;;;;;
426275;564047;;;;;
426277;564049;;;;;
426278;564049;;;;;
426279;564049;;;;;
426280;564049;;;;;
426281;564049;;;;;
426282;564050;;;;;
426283;564051;;;;;
426284;564052;;;;;
426285;564053;;;;;
426286;564054;;;;;
426287;564056;;;;;
426288;564056;;;;;
426289;564057;;;;;
426290;564057;;;;;
426291;564058;;;;;
426292;564059;;;;;
426293;564060;;;;;
426294;564060;;;;;
426295;564061;;;;;
426296;564063;;;;;
426959;558810;;;;;
426960;558812;;;;;
426961;558812;;;;;
426962;558812;;;;;
426964;558815;;;;;
426965;558815;;;;;
427591;562358;;;;;
427592;562358;;;;;
427593;562359;;;;;
427594;562359;;;;;
427595;562360;;;;;
427596;562361;;;;;
427597;562361;;;;;
427599;562364;;;;;
427600;562365;;;;;
427601;562365;;;;;
427617;566313;;;;;
427618;566315;;;;;
427619;566317;;;;;
425657;559001;;;;;
425658;559001;;;;;
425659;559001;;;;;
425660;559002;;;;;
425661;559003;;;;;
425662;559003;;;;;
425663;559003;;;;;
425664;559003;;;;;
425665;559003;;;;;
425666;559004;;;;;
425667;559004;;;;;
425668;559004;;;;;
425673;559011;;;;;
425674;559012;;;;;
425675;559013;;;;;
425676;559013;;;;;
425677;559014;;;;;
425678;559015;;;;;
425679;559016;;;;;
425680;559016;;;;;
425681;559017;;;;;
425682;559017;;;;;
425683;559018;;;;;
425684;559019;;;;;
425685;559019;;;;;
425686;559019;;;;;
425687;559019;;;;;
425688;559020;;;;;
425689;559021;;;;;
425690;559021;;;;;
425691;559022;;;;;
426299;564068;;;;;
426973;558829;;;;;
426974;558831;;;;;
426976;558834;;;;;
426977;558834;;;;;
426981;560825;;;;;
426982;560826;;;;;
426983;560827;;;;;
426984;560828;;;;;
426985;560829;;;;;
426986;560830;;;;;
426987;560830;;;;;
426988;560830;;;;;
426989;560830;;;;;
426990;560831;;;;;
426991;560832;;;;;
426992;560833;;;;;
426993;560834;;;;;
426994;560834;;;;;
426995;560834;;;;;
426996;560834;;;;;
426997;560835;;;;;
427000;560838;;;;;
427001;560838;;;;;
427002;560838;;;;;
427003;560838;;;;;
427004;560839;;;;;
427005;560839;;;;;
427006;560839;;;;;
425692;559022;;;;;
425698;559031;;;;;
425703;559140;;;;;
425704;559141;;;;;
425705;559141;;;;;
425706;559142;;;;;
425707;559142;;;;;
425708;559143;;;;;
425709;559144;;;;;
425710;559144;;;;;
425711;559145;;;;;
425712;559145;;;;;
425713;559145;;;;;
425714;559147;;;;;
425715;559148;;;;;
425716;559148;;;;;
425717;559149;;;;;
425723;559155;;;;;
425724;559157;;;;;
425725;559157;;;;;
425726;559157;;;;;
425727;559159;;;;;
425728;559160;;;;;
425729;559160;;;;;
425730;559161;;;;;
425731;559161;;;;;
425732;559162;;;;;
425733;559162;;;;;
427009;562410;;;;;
427011;562414;;;;;
427012;562415;;;;;
427013;562417;;;;;
427014;562418;;;;;
427015;562418;;;;;
427016;562420;;;;;
427017;562421;;;;;
427018;562423;;;;;
427019;562424;;;;;
427020;562425;;;;;
427021;562425;;;;;
427705;558735;;;;;
427706;558735;;;;;
427707;558736;;;;;
427708;558736;;;;;
427709;558736;;;;;
