cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
6737810;432339;19/06/2013;;;;
18587890;432339;29/05/2020;;;;
4600014;432339;04/10/2004;;;;
4596752;430077;06/10/2010;;;;
4597458;430077;05/09/2006;;;;
4612450;431895;14/03/2006;;;;
4596072;505914;20/05/2003;;;;
4607257;467169;21/03/2005;;;;
4612892;439474;17/09/2007;;;;
4598679;430411;30/01/2001;;;;
5265169;430411;19/09/2005;;;;
4610792;432424;18/10/2006;;;;
24002339;489563;04/06/2021;;;;
4615008;937326;12/11/2007;;;;
4602595;937326;22/04/2005;;;;
8437154;;24/07/2014;;;;
4617942;490357;14/10/2010;;;;
